count	organizer	distinct_titles	sample_titles	vrchat_group_urls	sources
121	おはよう！朝4時に何してるんだぃ？	1	おはよう！朝4時に何してるんだぃ？		repository_manual_events
34	VRCフィットボクシング集会	2	VRCフィットボクシング集会（土曜） | VRCフィットボクシング集会（日曜）		repository_manual_events
18	EXPLOIT	1	EXPLOIT部 定期対戦会		repository_manual_events
18	VRCゲームワールド部	1	VRCゲームワールド部 月曜イベント		repository_manual_events
17	ML集会	1	ML集会		repository_manual_events
17	Personally match 開催通知	1	Personally match		repository_manual_events
17	VR BLOOD RECALL	1	VR BLOOD RECALL 初心者説明会＆交流会		repository_manual_events
17	VRCでボーっとする会	1	VRCでボーっとする会		repository_manual_events
17	VRCふれあい動物園	1	VRCふれあい動物園		repository_manual_events
17	VRC初心者ワールドツアー	1	VRC初心者ワールドツアー		repository_manual_events
17	居酒屋なぞとき	1	居酒屋なぞとき		repository_manual_events
17	謎めぐり	1	謎めぐり		repository_manual_events
16	しーぷかふぇ	4	しーぷかふぇ 第2土曜 第一部 | しーぷかふぇ 第2土曜 第二部 | しーぷかふぇ 第4土曜 第一部 | しーぷかふぇ 第4土曜 第二部		repository_manual_events
12	VR研究カフェ	3	VR研究カフェ（毎月10日） | VR研究カフェ（毎月20日） | VR研究カフェ（毎月30日）		repository_manual_events
8	SW_Arch	2	SW_Arch ソフトウェアアーキテクチャ集会（第1月曜） | SW_Arch ソフトウェアアーキテクチャ集会（第3月曜）		repository_manual_events
8	ルルネ水族館	2	ルルネ水族館（第1木曜） | ルルネ水族館（第3木曜）		repository_manual_events
3	@rhinohornVR	3	【👙🏄🏼‍♂️祭りだ祭り🛟⛱️】 VRC A-POP FEAST 2026 8/22(土)19:30 OPEN!! VRアニソンDJ出来るマンが集まる夏の祭典です。 良い時間もらってますので遊… | 【👙🏄🏼‍♂️祭りだ祭り🛟⛱️】 VRC A-POP FEAST 2026 8/22(土)19:30 OPEN!! アニソンDJ大集結のやつ！楽しいとこに来ちゃって下さい！ID-0 #VRC_… | 【👙🏄🏼‍♂️祭りだ祭り🛟⛱️】 VRC A-POP FEAST 2026 8/22(土)19:30 OPEN!! アニメだアニメ！よろしくどうぞ！ #VRC_APOP_FEAST https…		yahoo_realtime_events
2	@ComaPre	2	【VJ Lounge SIGNAL】 VJの実演・解説・交流を楽しめるイベントを開催します！ VJを見てみたい方、これから始めたい方もお気軽にご参加ください。 📅2026年8月3日（月）21:… | 昼宣伝！ VJに焦点を当てた交流イベント！ クラブイベントとは少し違った形式になるのをご了承ください 目指すはVJ文化の拡大！ 8/3 月曜日の21時からVRChatにて宜しくお願いします～！…		yahoo_realtime_events
2	@Shakugan_com487	2	🚨【告知】🚨 ⭐️初主催DJイベント AniStopPable（アニストッパブル）開催！🎉 DJ・VJ交代時も音楽はノンストップ。 音を止めないDJ・VJが4時間駆け抜けます🔥 音の止まらない… | 🚨【開催まであと少し！】🚨 ⭐️AniStopPable（アニストッパブル） DJ・VJ交代時も音楽はノンストップ！ サブカル満載の4時間をお届けします🔥 📅8/8(土) 20:30～24:3…	https://vrchat.com/home/group/grp_20b3e8db-c1c5-4a50-b672-064a646c80ab	yahoo_realtime_events
2	@nakadarariri	2	#SIREN集会VRC 本日23:00～VRCで #異界入り2026 !!VRCID:【NAKADARARIRI】にフレンド申請をお忘れなく!! ※PC限定/定員45名/途中入場可 https… | 🔻SIREN異界突入脱出集会2026🔻 毎年恒例のVRCユーザー(PC)限定SIRENファン非公式集会。めちゃ急ですが今年は既存会場で異界入り当日も開催‼ 【突入集会 8/3 23:00～】 …		yahoo_realtime_events
2	@vj_kurodo	2	【告知】アニメのEDオンリーの DJイベント 宵待ちエンドロール にてVJします！ OPはよく聞くけどあよEDなかなかイベントで聞けないよね っていうそこの貴方！！ぜひ！ steamが使えてそ… | 【告知解禁 】VR サブカルイベントの フェス‼️ 総勢16人のDVJが集まって 2フロア開催のお祭り🎇 にてVJします！ 8/22(土）19:30～ at VRchatご予定くださいー ht…		yahoo_realtime_events
2	@vrc_cbc	2	#VRCカジュビリ #VRChat カジュアルビリヤード部恒例「夏壊し」 今年も8/7(金)22時～開催決定🌻🌻 VRChat内でも屈指の名作と謳われる@y23586様作「PROJECT:SU… | #居酒屋和み #VRCカジュビリ #VRChat 前回好評だった「居酒屋なごみ」コラボ再び🍶🫛 🌻8月12日(水)21:00～ VRCイベント「居酒屋和み」さんとコラボイベントの開催が決定しま…		yahoo_realtime_events
2	@yossy222_VRC	2	【VRChat DJイベント告知】 8/3(月)のPsy-Trance DJイベント情報！(*‘ω‘ *) 🍍2026/08/03(Mon) 🍍22:00-25:00(JST) 🍍Join→G… | 【VRChat DJイベント告知】 約4年ぶりに #VR_EXCEED で復活！ ✨ Konatan Psychedelic Festival 📅2026/08/20 (木) ⏰20:00-2…	https://vrchat.com/home/group/grp_09fffaf5-18c5-4724-94ec-07a580955321 | https://vrchat.com/home/group/grp_25bd195a-d5ae-44c3-befe-20cce158e799	yahoo_realtime_events
