count	title	organizers	description	vrchat_group_url	url	source
121	おはよう！朝4時に何してるんだぃ？	おはよう！朝4時に何してるんだぃ？	毎日4時に集合写真を撮影するイベント。終了時刻は明示情報がないため未設定。グループ短縮コード: AM0400.6587。			repository_manual_events
18	EXPLOIT部 定期対戦会	EXPLOIT	毎週火曜23時から24時。VRC向け2人用対戦ボードゲームEXPLOITの初心者歓迎イベント。グループ短縮コード: EXP000.2277。			repository_manual_events
18	VRCゲームワールド部 月曜イベント	VRCゲームワールド部	毎週月曜21時開始。ゲームワールドで一緒に遊ぶ参加者を募集するイベント。グループ短縮コード: 0913.3316。			repository_manual_events
17	ML集会	ML集会	毎週水曜22時開催。機械学習の情報共有と雑談を行う集会。終了時刻は明示情報がないため未設定。グループ短縮コード: VRCML.9230。			repository_manual_events
17	Personally match	Personally match 開催通知	毎週土曜22時開催。一人参加者を中心とした交流イベント。終了時刻は明示情報がないため未設定。グループ短縮コード: PERSON.2080。			repository_manual_events
17	VR BLOOD RECALL 初心者説明会＆交流会	VR BLOOD RECALL	毎週金曜22時開催。VR BLOOD RECALLの初心者説明会と交流会。グループ短縮コード: VRBR.1146。			repository_manual_events
17	VRCでボーっとする会	VRCでボーっとする会	毎週水曜22時30分から23時。静かに休むためのPC・Android対応集会。グループ短縮コード: BSKAI.0397。			repository_manual_events
17	VRCふれあい動物園	VRCふれあい動物園	毎週金曜22時開園の交流イベント。終了時刻は一次情報で確認できないため未設定。		https://vrchat.com/home/launch?worldId=wrld_9a1eedbb-34ee-49cd-87da-41e321258fb6	repository_manual_events
17	VRCフィットボクシング集会（土曜）	VRCフィットボクシング集会	毎週土曜21時開始。動画を見ながら運動するフィットネス集会。グループ短縮コード: FITBOX.0291。			repository_manual_events
17	VRCフィットボクシング集会（日曜）	VRCフィットボクシング集会	毎週日曜21時開始。動画を見ながら運動するフィットネス集会。グループ短縮コード: FITBOX.0291。			repository_manual_events
17	VRC初心者ワールドツアー	VRC初心者ワールドツアー	毎週木曜21時開催の初心者向けワールドツアー。終了時刻は一次情報で確認できないため未設定。		https://vrchat.com/home/launch?worldId=wrld_20a3f7c6-9529-4af3-8bae-f60109a1b6ea	repository_manual_events
17	居酒屋なぞとき	居酒屋なぞとき	毎週木曜22時30分開始。メンバーで謎解きワールドを攻略するイベント。グループ短縮コード: NAZO.3636。			repository_manual_events
17	謎めぐり	謎めぐり	毎週水曜21時から22時。謎解きワールドを参加者で攻略するイベント。グループ短縮コード: NAZO.0177。			repository_manual_events
4	SW_Arch ソフトウェアアーキテクチャ集会（第1月曜）	SW_Arch	毎月第1月曜22時開催。ソフトウェアアーキテクチャを語る技術交流会。グループ短縮コード: SWARCH.8812。			repository_manual_events
4	SW_Arch ソフトウェアアーキテクチャ集会（第3月曜）	SW_Arch	毎月第3月曜22時開催。ソフトウェアアーキテクチャを語る技術交流会。グループ短縮コード: SWARCH.8812。			repository_manual_events
4	VR研究カフェ（毎月10日）	VR研究カフェ	毎月10日21時開催。VRの技術・研究について話すオープンな研究雑談カフェ。グループ短縮コード: VRCAFE.9446。			repository_manual_events
4	VR研究カフェ（毎月20日）	VR研究カフェ	毎月20日21時開催。VRの技術・研究について話すオープンな研究雑談カフェ。グループ短縮コード: VRCAFE.9446。			repository_manual_events
4	VR研究カフェ（毎月30日）	VR研究カフェ	毎月30日21時開催。VRの技術・研究について話すオープンな研究雑談カフェ。グループ短縮コード: VRCAFE.9446。			repository_manual_events
4	しーぷかふぇ 第2土曜 第一部	しーぷかふぇ	毎月第2土曜22時から22時50分。ひつじの店員によるカフェイベント。グループ短縮コード: IMONST.8796。			repository_manual_events
4	しーぷかふぇ 第2土曜 第二部	しーぷかふぇ	毎月第2土曜23時から23時50分。ひつじの店員によるカフェイベント。グループ短縮コード: IMONST.8796。			repository_manual_events
4	しーぷかふぇ 第4土曜 第一部	しーぷかふぇ	毎月第4土曜22時から22時50分。ひつじの店員によるカフェイベント。グループ短縮コード: IMONST.8796。			repository_manual_events
4	しーぷかふぇ 第4土曜 第二部	しーぷかふぇ	毎月第4土曜23時から23時50分。ひつじの店員によるカフェイベント。グループ短縮コード: IMONST.8796。			repository_manual_events
4	ルルネ水族館（第1木曜）	ルルネ水族館	毎月第1木曜23時から24時。水中を泳ぐルルネちゃんとの会話・交流イベント。グループ短縮コード: RURUNE.1510。			repository_manual_events
4	ルルネ水族館（第3木曜）	ルルネ水族館	毎月第3木曜23時から24時。水中を泳ぐルルネちゃんとの会話・交流イベント。グループ短縮コード: RURUNE.1510。			repository_manual_events
